filename,data_type,category,attack_name,attack_target,doc_count,start,end,start_timestamp,end_timestamp
attack_ddos_syn-flood-port-80_edge1,attack,ddos,syn-flood-port-80,edge1,7907037,2025-01-23T15:31:10.709Z,2025-01-23T15:32:12.789Z,1737646270709.0,1737646332789.0
attack_ddos_push-ack-flood-port-80_edge1,attack,ddos,push-ack-flood-port-80,edge1,7888985,2025-01-24T20:15:17.562Z,2025-01-24T20:16:19.565Z,1737749717562.0,1737749779565.0
attack_ddos_rst-fin-flood-port-1883_light-sensor,attack,ddos,rst-fin-flood-port-1883,light-sensor,7886989,2025-01-25T14:52:26.685Z,2025-01-25T14:53:28.661Z,1737816746685.0,1737816808661.0
attack_ddos_rst-fin-flood-port-80_router,attack,ddos,rst-fin-flood-port-80,router,7883402,2025-01-25T15:13:14.519Z,2025-01-25T15:14:16.564Z,1737817994519.0,1737818056564.0
attack_ddos_rst-fin-flood-port-80_edge1,attack,ddos,rst-fin-flood-port-80,edge1,7879480,2025-01-25T15:20:10.535Z,2025-01-25T15:21:12.470Z,1737818410535.0,1737818472470.0
attack_ddos_rst-fin-flood-port-80_switch,attack,ddos,rst-fin-flood-port-80,switch,7879052,2025-01-25T15:23:38.361Z,2025-01-25T15:24:40.381Z,1737818618361.0,1737818680381.0
attack_ddos_udp-flood-port-80_switch,attack,ddos,udp-flood-port-80,switch,7877568,2025-01-23T20:55:16.795Z,2025-01-23T20:56:18.793Z,1737665716795.0,1737665778793.0
attack_ddos_rst-fin-flood-port-80_wisenet-camera,attack,ddos,rst-fin-flood-port-80,wisenet-camera,7870773,2025-01-25T15:47:53.896Z,2025-01-25T15:48:55.881Z,1737820073896.0,1737820135881.0
attack_ddos_udp-flood-port-80_router,attack,ddos,udp-flood-port-80,router,7870560,2025-01-23T20:47:09.900Z,2025-01-23T20:48:11.908Z,1737665229900.0,1737665291908.0
attack_ddos_udp-flood-port-80_yi-camera,attack,ddos,udp-flood-port-80,yi-camera,7870351,2025-01-23T22:45:18.351Z,2025-01-23T22:46:20.355Z,1737672318351.0,1737672380355.0
attack_ddos_udp-flood-port-80_ap,attack,ddos,udp-flood-port-80,ap,7869986,2025-01-23T20:57:17.970Z,2025-01-23T20:58:20.050Z,1737665837970.0,1737665900050.0
attack_ddos_udp-flood-port-80_edge1,attack,ddos,udp-flood-port-80,edge1,7867555,2025-01-23T20:53:03.912Z,2025-01-23T20:54:05.893Z,1737665583912.0,1737665645893.0
attack_ddos_rst-fin-flood-port-1883_water-sensor,attack,ddos,rst-fin-flood-port-1883,water-sensor,7863804,2025-01-25T14:28:10.168Z,2025-01-25T14:29:12.171Z,1737815290168.0,1737815352171.0
attack_ddos_udp-flood-port-1883_rfid-sensor,attack,ddos,udp-flood-port-1883,rfid-sensor,7862800,2025-01-23T22:29:54.972Z,2025-01-23T22:30:57.010Z,1737671394972.0,1737671457010.0
